Country Code,Station Code,Parameter,Label,Timestamp (UTC+07:00),Value,Unit,Observed or Estimated,Approval Level,Grade
VN,019805,Conductivity,Water Quality,1995-05-15T00:00+07:00,603.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1995-06-15T00:00+07:00,52.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1995-07-15T00:00+07:00,25.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1995-08-15T00:00+07:00,14.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1995-09-15T00:00+07:00,14.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1995-10-15T00:00+07:00,13.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1995-11-15T00:00+07:00,12.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1995-12-15T00:00+07:00,15.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1996-01-15T00:00+07:00,15.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1996-02-15T00:00+07:00,17.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1996-03-15T00:00+07:00,20.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1996-04-15T00:00+07:00,210.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1996-05-15T00:00+07:00,35.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1996-06-15T00:00+07:00,19.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1996-07-15T00:00+07:00,23.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1996-08-15T00:00+07:00,12.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1996-09-15T00:00+07:00,14.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1996-10-15T00:00+07:00,14.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1996-11-15T00:00+07:00,10.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1996-12-15T00:00+07:00,12.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1997-01-15T00:00+07:00,12.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1997-02-15T00:00+07:00,15.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1997-03-15T00:00+07:00,35.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1997-04-15T00:00+07:00,27.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1997-05-15T00:00+07:00,22.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1997-06-15T00:00+07:00,28.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1997-07-15T00:00+07:00,22.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1997-08-15T00:00+07:00,13.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1997-09-15T00:00+07:00,13.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1997-10-15T00:00+07:00,12.7,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1997-11-15T00:00+07:00,13.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1997-12-15T00:00+07:00,14.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1998-01-15T00:00+07:00,17.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1998-02-15T00:00+07:00,4.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1998-03-15T00:00+07:00,131.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1998-04-15T00:00+07:00,841.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1998-05-15T00:00+07:00,118.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1998-06-15T00:00+07:00,90.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1998-07-15T00:00+07:00,21.1,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1998-08-15T00:00+07:00,17.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1998-09-15T00:00+07:00,21.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1998-10-15T00:00+07:00,17.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1998-11-15T00:00+07:00,20.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1998-12-15T00:00+07:00,49.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1999-01-15T00:00+07:00,17.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1999-02-15T00:00+07:00,18.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1999-03-15T00:00+07:00,51.0,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1999-04-15T00:00+07:00,98.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1999-05-15T00:00+07:00,58.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1999-06-15T00:00+07:00,15.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1999-07-15T00:00+07:00,13.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1999-08-15T00:00+07:00,13.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1999-09-15T00:00+07:00,14.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1999-10-15T00:00+07:00,13.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1999-11-15T00:00+07:00,15.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,1999-12-15T00:00+07:00,15.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,2000-01-15T00:00+07:00,23.72,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,2000-02-15T00:00+07:00,14.4,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,2000-03-15T00:00+07:00,19.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,2000-04-15T00:00+07:00,20.8,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,2000-05-15T00:00+07:00,22.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,2000-06-15T00:00+07:00,16.48,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,2000-07-15T00:00+07:00,8.61,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,2000-08-15T00:00+07:00,11.45,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,2000-09-15T00:00+07:00,10.84,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,2000-10-15T00:00+07:00,12.9,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,2000-11-15T00:00+07:00,12.59,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,2000-12-15T00:00+07:00,12.05,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,2001-01-15T00:00+07:00,12.48,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,2001-02-15T00:00+07:00,14.15,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,2001-03-15T00:00+07:00,18.19,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,2001-04-15T00:00+07:00,14.22,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,2001-05-15T00:00+07:00,17.15,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,2001-06-15T00:00+07:00,13.83,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,2001-07-15T00:00+07:00,12.03,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,2001-08-15T00:00+07:00,10.62,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,2001-09-15T00:00+07:00,10.99,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,2001-10-15T00:00+07:00,10.71,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,2001-11-15T00:00+07:00,12.19,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,2001-12-01T00:00+07:00,15.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,2002-01-15T00:00+07:00,14.32,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,2002-02-15T00:00+07:00,15.67,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,2002-03-15T00:00+07:00,25.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,2002-04-15T00:00+07:00,78.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,2002-05-15T00:00+07:00,94.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,2002-06-15T00:00+07:00,28.2,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,2002-07-15T00:00+07:00,13.66,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,2002-08-15T00:00+07:00,13.67,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,2002-09-15T00:00+07:00,13.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,2002-10-15T00:00+07:00,12.84,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,2002-11-15T00:00+07:00,14.83,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,2002-12-15T00:00+07:00,14.3,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,2003-01-15T00:00+07:00,14.5,mS/m,O,Raw - Not Yet Reviewed,Unverified data
VN,019805,Conductivity,Water Quality,2003-02-15T00:00+07:00,12.6,mS/m,O,Raw - Not Yet Reviewed,Unverified data
